iter	Logloss
0	0.6892950158
1	0.6854729401
2	0.6820576316
3	0.6778489665
4	0.6744138316
5	0.6720131322
6	0.6693649292
7	0.6656888661
8	0.662558907
9	0.6597583168
10	0.6556903939
11	0.6519024498
12	0.6486833472
13	0.6453181317
14	0.6418917807
15	0.6377553438
16	0.6352715241
17	0.6313678842
18	0.627845463
19	0.6251235761
20	0.6217138391
21	0.6187262284
22	0.6159054606
23	0.6125921952
24	0.6093229495
25	0.6069066901
26	0.6048270778
27	0.6017495206
28	0.598969058
29	0.5959632271
30	0.5933751056
31	0.5903268613
32	0.5876691718
33	0.5856978266
34	0.582627447
35	0.5794021205
36	0.5774502001
37	0.5744962692
38	0.5711859653
39	0.5679465344
40	0.5653124859
41	0.562747604
42	0.5595232813
43	0.5571569644
44	0.5552573957
45	0.5521455062
46	0.550013241
47	0.5473360262
48	0.5446613713
49	0.5432853197
50	0.5420648675
51	0.5395414453
52	0.536887972
53	0.5352132195
54	0.5324778306
55	0.5296177111
56	0.5271019183
57	0.5248567682
58	0.5219903243
59	0.5191861203
60	0.5167864749
61	0.5140561556
62	0.5117107693
63	0.5091430764
64	0.5068884398
65	0.5042046999
66	0.5019951369
67	0.4992019754
68	0.4970199183
69	0.4943710126
70	0.4925068805
71	0.4906537909
72	0.4889596638
73	0.4868766383
74	0.4848374819
75	0.4835354654
76	0.481235203
77	0.478855635
78	0.4772062302
79	0.4750244743
80	0.4729274449
81	0.4706469586
82	0.4684223376
83	0.4663200378
84	0.4640878878
85	0.4616866865
86	0.4595063862
87	0.4573195608
88	0.4550836463
89	0.4531206834
90	0.4510820288
91	0.4493157236
92	0.4469154759
93	0.4451753717
94	0.4432173779
95	0.4419516513
96	0.4403414475
97	0.4383223684
98	0.4365096845
99	0.4349026429
100	0.4329133285
101	0.4311628844
102	0.4293637527
103	0.427312349
104	0.4257745241
105	0.4244812915
106	0.4227176465
107	0.4212141539
108	0.4197308892
109	0.418327457
110	0.4166675618
111	0.4152021408
112	0.413709239
113	0.4121555027
114	0.410239571
